"No.","Time","Source","Destination","Protocol","Sequence Number","Payload Length","Info"
"14728","1255.758000","::205:5:5:5","::201:1:1:1","UDP","95","25","8765  >  5678 Len=9"
"14729","1255.760536","","","IEEE 802.15.4","95","","Ack"
"14730","1255.766000","::201:1:1:1","::205:5:5:5","UDP","111","25","5678  >  8765 Len=9"
"14731","1255.768536","","","IEEE 802.15.4","111","","Ack"
"14732","1255.833000","fe80::20c:c:c:c","fe80::20a:a:a:a","ICMPv6","9","76","RPL Control (DODAG Information Object)"
"14733","1255.837200","","","IEEE 802.15.4","9","","Ack"
"14734","1255.943000","::209:9:9:9","::201:1:1:1","UDP","114","25","8765  >  5678 Len=9"
"14735","1255.945536","","","IEEE 802.15.4","114","","Ack"
"14736","1255.956000","::201:1:1:1","::209:9:9:9","UDP","112","25","5678  >  8765 Len=9"
"14737","1255.958536","","","IEEE 802.15.4","112","","Ack"
"14738","1256.275000","::211:11:11:11","::202:2:2:2","UDP","16","25","8765  >  5678 Len=9"
"14739","1256.277536","","","IEEE 802.15.4","16","","Ack"
"14740","1256.290000","::202:2:2:2","::211:11:11:11","UDP","108","25","5678  >  8765 Len=9"
"14741","1256.292536","","","IEEE 802.15.4","108","","Ack"
"14742","1256.574000","::203:3:3:3","::201:1:1:1","UDP","51","25","8765  >  5678 Len=9"
"14743","1256.576536","","","IEEE 802.15.4","51","","Ack"
"14744","1256.601000","::201:1:1:1","::203:3:3:3","UDP","113","25","5678  >  8765 Len=9"
"14745","1256.603536","","","IEEE 802.15.4","113","","Ack"
"14746","1257.104000","::208:8:8:8","::202:2:2:2","UDP","207","25","8765  >  5678 Len=9"
"14747","1257.106536","","","IEEE 802.15.4","207","","Ack"
"14748","1257.140000","::202:2:2:2","::208:8:8:8","UDP","109","25","5678  >  8765 Len=9"
"14749","1257.142536","","","IEEE 802.15.4","109","","Ack"
"14750","1257.597000","::210:10:10:10","::201:1:1:1","UDP","93","25","8765  >  5678 Len=9"
"14751","1257.599536","","","IEEE 802.15.4","93","","Ack"
"14752","1257.635000","::201:1:1:1","::210:10:10:10","UDP","114","25","5678  >  8765 Len=9"
"14753","1257.637536","","","IEEE 802.15.4","114","","Ack"
"14754","1257.707000","::20f:f:f:f","::202:2:2:2","UDP","230","25","8765  >  5678 Len=9"
