"No.","Time","Source","Destination","Protocol","Sequence Number","Payload Length","Info"
"301","17.214472","","","IEEE 802.15.4","182","","Ack"
"302","17.233000","::202:2:2:2","::206:6:6:6","UDP","73","23","5678  >  8765 Len=7"
"303","17.235472","","","IEEE 802.15.4","73","","Ack"
"304","17.354000","::209:9:9:9","::201:1:1:1","ICMPv6","138","58","RPL Control (Destination Advertisement Object)"
"305","17.357656","","","IEEE 802.15.4","138","","Ack"
"306","17.398000","::201:1:1:1","::209:9:9:9","ICMPv6","23","16","RPL Control (Destination Advertisement Object Acknowledgment)"
"307","17.400312","","","IEEE 802.15.4","23","","Ack"
"308","17.772000","::209:9:9:9","::201:1:1:1","UDP","139","23","8765  >  5678 Len=7"
"309","17.774472","","","IEEE 802.15.4","139","","Ack"
"310","17.784000","::201:1:1:1","::209:9:9:9","UDP","24","23","5678  >  8765 Len=7"
"311","17.786472","","","IEEE 802.15.4","24","","Ack"
"312","17.940000","fe80::212:12:12:12","ff02::1a","ICMPv6","89","76","RPL Control (DODAG Information Object)"
"313","18.142000","fe80::217:17:17:17","ff02::1a","ICMPv6","129","76","RPL Control (DODAG Information Object)"
"314","18.211000","00:16:00:16:00:16:00:16","00:01:00:01:00:01:00:01","6LoWPAN","202","","Data, Dst: EquipTra_01:00:01:00:01, Src: CelleBri_16:00:16:00:16"
"315","18.215936","","","IEEE 802.15.4","202","","Ack"
"316","18.241000","00:16:00:16:00:16:00:16","00:01:00:01:00:01:00:01","6LoWPAN","203","","Data, Dst: EquipTra_01:00:01:00:01, Src: CelleBri_16:00:16:00:16"
"317","18.245904","","","IEEE 802.15.4","203","","Ack"
"318","18.272000","::216:16:16:16","::201:1:1:1","UDP","204","198","8765  >  5678 Len=182"
"319","18.274024","","","IEEE 802.15.4","204","","Ack"
"320","18.314000","00:01:00:01:00:01:00:01","00:16:00:16:00:16:00:16","6LoWPAN","25","","Data, Dst: CelleBri_16:00:16:00:16, Src: EquipTra_01:00:01:00:01"
"321","18.318936","","","IEEE 802.15.4","25","","Ack"
"322","18.358000","00:01:00:01:00:01:00:01","00:16:00:16:00:16:00:16","6LoWPAN","26","","Data, Dst: CelleBri_16:00:16:00:16, Src: EquipTra_01:00:01:00:01"
"323","18.362904","","","IEEE 802.15.4","26","","Ack"
"324","18.378000","fe80::210:10:10:10","ff02::1a","ICMPv6","120","76","RPL Control (DODAG Information Object)"
"325","18.387000","::201:1:1:1","::216:16:16:16","UDP","27","198","5678  >  8765 Len=182"
"326","18.389024","","","IEEE 802.15.4","27","","Ack"
"327","18.429000","::203:3:3:3","::201:1:1:1","UDP","76","23","8765  >  5678 Len=7"
"328","18.431472","","","IEEE 802.15.4","76","","Ack"
"329","18.438000","::201:1:1:1","::203:3:3:3","UDP","28","23","5678  >  8765 Len=7"
"330","18.440472","","","IEEE 802.15.4","28","","Ack"
"331","18.466000","00:15:00:15:00:15:00:15","00:02:00:02:00:02:00:02","6LoWPAN","175","","Data, Dst: NetSys_02:00:02:00:02, Src: IntelCor_15:00:15:00:15"
"332","18.470936","","","IEEE 802.15.4","175","","Ack"
"333","18.498000","::215:15:15:15","::202:2:2:2","UDP","176","176","8765  >  5678 Len=160"
"334","18.502392","","","IEEE 802.15.4","176","","Ack"
"335","18.529000","00:17:00:17:00:17:00:17","00:01:00:01:00:01:00:01","6LoWPAN","130","","Data, Dst: EquipTra_01:00:01:00:01, Src: ARRISGro_17:00:17:00:17"
"336","18.533936","","","IEEE 802.15.4","130","","Ack"
"337","18.543000","00:02:00:02:00:02:00:02","00:15:00:15:00:15:00:15","6LoWPAN","74","","Data, Dst: IntelCor_15:00:15:00:15, Src: NetSys_02:00:02:00:02"
"338","18.547936","","","IEEE 802.15.4","74","","Ack"
"339","18.546000","00:17:00:17:00:17:00:17","00:01:00:01:00:01:00:01","6LoWPAN","131","","Data, Dst: EquipTra_01:00:01:00:01, Src: ARRISGro_17:00:17:00:17"
"340","18.584000","00:02:00:02:00:02:00:02","00:15:00:15:00:15:00:15","6LoWPAN","74","","Data, Dst: IntelCor_15:00:15:00:15, Src: NetSys_02:00:02:00:02"
"341","18.588936","","","IEEE 802.15.4","74","","Ack"
"342","18.587936","00:17:00:17:00:17:00:17","00:01:00:01:00:01:00:01","6LoWPAN","131","","Data, Dst: EquipTra_01:00:01:00:01, Src: ARRISGro_17:00:17:00:17"
"343","18.600000","00:02:00:02:00:02:00:02","00:15:00:15:00:15:00:15","6LoWPAN","74","","Data, Dst: IntelCor_15:00:15:00:15, Src: NetSys_02:00:02:00:02"
"344","18.604936","","","IEEE 802.15.4","74","","Ack"
"345","18.603000","00:17:00:17:00:17:00:17","00:01:00:01:00:01:00:01","6LoWPAN","131","","Data, Dst: EquipTra_01:00:01:00:01, Src: ARRISGro_17:00:17:00:17"
"346","18.636000","00:17:00:17:00:17:00:17","00:01:00:01:00:01:00:01","6LoWPAN","131","","Data, Dst: EquipTra_01:00:01:00:01, Src: ARRISGro_17:00:17:00:17"
"347","18.640904","","","IEEE 802.15.4","131","","Ack"
"348","18.644000","::20a:a:a:a","::202:2:2:2","ICMPv6","240","58","RPL Control (Destination Advertisement Object)"
"349","18.647656","","","IEEE 802.15.4","240","","Ack"
"350","18.651000","::217:17:17:17","::201:1:1:1","UDP","132","261","8765  >  5678 Len=245"
"351","18.655040","","","IEEE 802.15.4","132","","Ack"
"352","18.663000","00:01:00:01:00:01:00:01","00:17:00:17:00:17:00:17","6LoWPAN","29","","Data, Dst: ARRISGro_17:00:17:00:17, Src: EquipTra_01:00:01:00:01"
"353","18.667936","","","IEEE 802.15.4","29","","Ack"
"354","18.685000","::202:2:2:2","::20a:a:a:a","ICMPv6","76","16","RPL Control (Destination Advertisement Object Acknowledgment)"
"355","18.687312","","","IEEE 802.15.4","76","","Ack"
"356","18.691000","00:01:00:01:00:01:00:01","00:17:00:17:00:17:00:17","6LoWPAN","30","","Data, Dst: ARRISGro_17:00:17:00:17, Src: EquipTra_01:00:01:00:01"
"357","18.695904","","","IEEE 802.15.4","30","","Ack"
"358","18.699000","00:02:00:02:00:02:00:02","00:15:00:15:00:15:00:15","6LoWPAN","74","","Data, Dst: IntelCor_15:00:15:00:15, Src: NetSys_02:00:02:00:02"
"359","18.703936","","","IEEE 802.15.4","74","","Ack"
"360","18.710000","::202:2:2:2","::215:15:15:15","UDP","75","176","5678  >  8765 Len=160"
"361","18.714392","","","IEEE 802.15.4","75","","Ack"
"362","18.721000","::201:1:1:1","::217:17:17:17","UDP","31","261","5678  >  8765 Len=245"
"363","18.725040","","","IEEE 802.15.4","31","","Ack"
"364","18.754000","fe80::215:15:15:15","ff02::1a","ICMPv6","177","76","RPL Control (DODAG Information Object)"
"365","18.896000","::208:8:8:8","::202:2:2:2","UDP","234","23","8765  >  5678 Len=7"
"366","18.898472","","","IEEE 802.15.4","234","","Ack"
"367","18.901568","::202:2:2:2","::208:8:8:8","UDP","77","23","5678  >  8765 Len=7"
"368","18.904040","","","IEEE 802.15.4","77","","Ack"
"369","18.968000","fe80::216:16:16:16","ff02::1a","ICMPv6","205","76","RPL Control (DODAG Information Object)"
"370","19.101000","fe80::204:4:4:4","ff02::1a","ICMPv6","71","76","RPL Control (DODAG Information Object)"
"371","19.722000","fe80::20e:e:e:e","ff02::1a","ICMPv6","19","76","RPL Control (DODAG Information Object)"
"372","19.734000","::20e:e:e:e","::201:1:1:1","UDP","20","23","8765  >  5678 Len=7"
"373","19.736472","","","IEEE 802.15.4","20","","Ack"
"374","19.751000","::201:1:1:1","::20e:e:e:e","UDP","32","23","5678  >  8765 Len=7"
"375","19.753472","","","IEEE 802.15.4","32","","Ack"
"376","19.911000","fe80::213:13:13:13","ff02::1a","ICMPv6","229","76","RPL Control (DODAG Information Object)"
"377","20.205000","fe80::207:7:7:7","ff02::1a","ICMPv6","42","76","RPL Control (DODAG Information Object)"
"378","20.336000","fe80::20d:d:d:d","ff02::1a","ICMPv6","37","76","RPL Control (DODAG Information Object)"
"379","20.381000","::20b:b:b:b","::202:2:2:2","UDP","113","23","8765  >  5678 Len=7"
"380","20.383472","","","IEEE 802.15.4","113","","Ack"
"381","20.420000","fe80::208:8:8:8","ff02::1a","ICMPv6","235","76","RPL Control (DODAG Information Object)"
"382","20.434000","::202:2:2:2","::20b:b:b:b","UDP","78","23","5678  >  8765 Len=7"
"383","20.436472","","","IEEE 802.15.4","78","","Ack"
"384","20.465000","fe80::209:9:9:9","ff02::1a","ICMPv6","140","76","RPL Control (DODAG Information Object)"
"385","20.609000","fe80::203:3:3:3","ff02::1a","ICMPv6","77","76","RPL Control (DODAG Information Object)"
"386","21.455000","fe80::20b:b:b:b","ff02::1a","ICMPv6","114","76","RPL Control (DODAG Information Object)"
