"No.","Time","Source","Destination","Protocol","Sequence Number","Payload Length","Info"
"287","36.697000","::201:1:1:1","::206:6:6:6","UDP","85","31","5678  >  8765 Len=7"
"288","36.700016","","","IEEE 802.15.4","85","","Ack"
"289","36.946000","::20a:a:a:a","::201:1:1:1","UDP","244","23","8765  >  5678 Len=7"
"290","36.948472","","","IEEE 802.15.4","244","","Ack"
"291","36.952000","::201:1:1:1","::20a:a:a:a","UDP","43","23","5678  >  8765 Len=7"
"292","36.954472","","","IEEE 802.15.4","43","","Ack"
"293","37.029000","::208:8:8:8","::201:1:1:1","UDP","240","23","8765  >  5678 Len=7"
"294","37.031472","","","IEEE 802.15.4","240","","Ack"
"295","37.051000","::201:1:1:1","::208:8:8:8","UDP","44","23","5678  >  8765 Len=7"
"296","37.053472","","","IEEE 802.15.4","44","","Ack"
"297","37.193000","fe80::203:3:3:3","ff02::1a","ICMPv6","80","76","RPL Control (DODAG Information Object)"
"298","37.424000","::203:3:3:3","::201:1:1:1","UDP","81","23","8765  >  5678 Len=7"
"299","37.426472","","","IEEE 802.15.4","81","","Ack"
"300","37.464000","::201:1:1:1","::203:3:3:3","UDP","45","23","5678  >  8765 Len=7"
"301","37.466472","","","IEEE 802.15.4","45","","Ack"
"302","37.869000","::20b:b:b:b","::201:1:1:1","UDP","116","23","8765  >  5678 Len=7"
"303","37.871728","","","IEEE 802.15.4","116","","Ack"
"304","37.877000","::20b:b:b:b","::201:1:1:1","UDP","86","23","8765  >  5678 Len=7"
"305","37.879760","","","IEEE 802.15.4","86","","Ack"
"306","37.888000","::201:1:1:1","::20b:b:b:b","UDP","46","31","5678  >  8765 Len=7"
"307","37.890728","","","IEEE 802.15.4","46","","Ack"
"308","37.920000","::201:1:1:1","::20b:b:b:b","UDP","87","31","5678  >  8765 Len=7"
"309","37.923016","","","IEEE 802.15.4","87","","Ack"
"310","39.190000","fe80::205:5:5:5","ff02::1a","ICMPv6","124","76","RPL Control (DODAG Information Object)"
"311","40.132000","fe80::20a:a:a:a","ff02::1a","ICMPv6","245","76","RPL Control (DODAG Information Object)"
"312","40.428000","::20c:c:c:c","::201:1:1:1","UDP","41","23","8765  >  5678 Len=7"
"313","40.430472","","","IEEE 802.15.4","41","","Ack"
"314","40.452000","::201:1:1:1","::20c:c:c:c","UDP","47","23","5678  >  8765 Len=7"
"315","40.454472","","","IEEE 802.15.4","47","","Ack"
